ordinal,field,expected_picture_top_line,expected_event,finding,note
62322,2,287,hold_previous,9,"oracle vbi_ambiguous; candidate retained, hold confirmed; recorded_top=L287; picture_top=L287; L286=31.978/45.148 L287=76.002/25.985 L288=98.495/32.774"
62323,1,24,place,8,raw picture start confirmed; recorded_top=L23; picture_top=L24; L23=10.217/5.392 L24=42.241/43.914 L25=22.569/34.789
62323,1,24,place,9,raw picture start confirmed; recorded_top=L23; picture_top=L24; L23=10.217/5.392 L24=42.241/43.914 L25=22.569/34.789
62323,2,287,hold_previous,8,"oracle vbi_ambiguous; candidate retained, hold confirmed; recorded_top=L287; picture_top=L287; L286=34.156/45.533 L287=77.250/26.659 L288=95.900/31.120"
62323,2,287,hold_previous,9,"oracle vbi_ambiguous; candidate retained, hold confirmed; recorded_top=L287; picture_top=L287; L286=34.156/45.533 L287=77.250/26.659 L288=95.900/31.120"
62324,1,24,place,8,raw picture start confirmed; recorded_top=L23; picture_top=L24; L23=11.350/6.306 L24=42.744/42.765 L25=27.577/41.371
62324,1,24,place,9,raw picture start confirmed; recorded_top=L23; picture_top=L24; L23=11.350/6.306 L24=42.744/42.765 L25=27.577/41.371
62324,2,287,place,8,raw picture start confirmed; recorded_top=L286; picture_top=L287; L286=11.402/6.136 L287=43.020/42.996 L288=26.431/39.997
62324,2,287,place,9,raw picture start confirmed; recorded_top=L286; picture_top=L287; L286=11.402/6.136 L287=43.020/42.996 L288=26.431/39.997
62325,1,25,hold_previous,8,"oracle vbi_ambiguous; candidate retained, hold confirmed; recorded_top=L25; picture_top=L25; L24=34.255/45.449 L25=81.994/24.798 L26=103.211/28.869"
62325,1,25,hold_previous,9,"oracle vbi_ambiguous; candidate retained, hold confirmed; recorded_top=L25; picture_top=L25; L24=34.255/45.449 L25=81.994/24.798 L26=103.211/28.869"
62325,2,288,place,8,raw picture start confirmed; recorded_top=L288; picture_top=L288; L287=27.258/40.289 L288=106.648/26.677 L289=107.275/24.787
62325,2,288,place,9,raw picture start confirmed; recorded_top=L288; picture_top=L288; L287=27.258/40.289 L288=106.648/26.677 L289=107.275/24.787
62326,1,25,hold_previous,8,"oracle vbi_ambiguous; candidate retained, hold confirmed; recorded_top=L25; picture_top=L25; L24=31.553/44.903 L25=76.803/27.165 L26=104.072/33.874"
62326,1,25,hold_previous,9,"oracle vbi_ambiguous; candidate retained, hold confirmed; recorded_top=L25; picture_top=L25; L24=31.553/44.903 L25=76.803/27.165 L26=104.072/33.874"
62326,2,288,hold_previous,8,"oracle vbi_ambiguous; candidate retained, hold confirmed; recorded_top=L288; picture_top=L288; L287=31.580/44.827 L288=76.880/27.115 L289=104.291/33.764"
62326,2,288,hold_previous,9,"oracle vbi_ambiguous; candidate retained, hold confirmed; recorded_top=L288; picture_top=L288; L287=31.580/44.827 L288=76.880/27.115 L289=104.291/33.764"
62713,1,25,hold_previous,5,"oracle vbi_ambiguous; candidate retained, hold confirmed; recorded_top=L25; picture_top=L25; L24=34.353/47.735 L25=70.902/54.702 L26=93.262/80.105"
