capture,ordinal,counter,field,previous_picture_top_line,picture_top_line,previous_switch_first_line,switch_first_line,dp,ds,previous_status,status,raw_rows
w_2100s,173,2083,2,288,288,522,522,0,0,censored,censored,L288=152.248/21.348 L521=122.175/83.212 L522=122.273/83.483 L525=10.605/0.683 L526=1.375/0.494 L527=16.000/0.000
w_2100s,174,2084,1,25,25,261,261,0,0,censored,censored,L25=112.531/14.806 L260=122.727/83.154 L261=15.973/5.911 L262=11.439/1.012 L263=1.355/0.482 L264=1.378/0.485
w_2100s,174,2084,2,288,288,522,522,0,0,censored,censored,L288=154.019/21.771 L521=122.338/83.233 L522=123.830/82.897 L525=10.631/0.677 L526=1.367/0.501 L527=16.000/0.000
w_2100s,175,2085,1,25,24,261,260,-1,-1,censored,censored,L24=110.966/14.511 L259=123.686/83.519 L260=15.998/6.766 L262=10.797/0.745 L263=1.367/0.488
w_2100s,175,2085,2,288,288,522,523,0,1,censored,censored,L288=152.841/21.651 L522=121.936/83.409 L523=11.264/0.854 L525=11.037/0.715 L526=1.387/0.497 L527=16.000/0.000
w_2100s,176,2086,1,24,24,260,260,0,0,censored,censored,L24=111.672/15.462 L259=122.386/83.120 L260=17.397/11.415 L262=10.988/0.737 L263=1.375/0.484
w_2100s,176,2086,2,288,288,523,523,0,0,censored,censored,L288=154.123/22.077 L522=122.362/82.803 L523=11.114/0.893 L525=10.863/0.714 L526=1.397/0.508 L527=16.000/0.000
w_2100s,177,2087,1,24,25,260,261,1,1,censored,censored,L25=111.209/15.341 L260=123.567/83.371 L261=17.075/10.115 L262=11.414/0.950 L263=1.411/0.498 L264=1.386/0.487
w_2100s,177,2087,2,288,288,523,523,0,0,censored,censored,L288=153.694/21.638 L522=121.645/82.886 L523=10.836/0.806 L525=11.014/0.712 L526=1.364/0.500 L527=16.000/0.000
w_2100s,178,2088,1,25,24,261,260,-1,-1,censored,censored,L24=112.011/15.356 L259=123.872/83.664 L260=16.961/11.233 L262=10.852/0.778 L263=1.392/0.495
w_2100s,178,2088,2,288,288,523,523,0,0,censored,censored,L288=154.872/21.522 L522=121.487/83.129 L523=10.703/0.887 L525=10.850/0.800 L526=1.377/0.504 L527=16.000/0.000
w_2100s,179,2089,1,24,24,260,260,0,0,censored,censored,L24=111.809/15.440 L259=122.105/83.231 L260=19.934/20.502 L262=11.123/0.702 L263=1.380/0.492
w_2100s,179,2089,2,288,288,523,523,0,0,censored,censored,L288=151.505/22.101 L522=122.044/82.795 L523=10.998/0.909 L525=10.947/0.689 L526=1.405/0.510 L527=16.000/0.000
w_2100s,180,2090,1,24,24,260,260,0,0,censored,censored,L24=111.206/15.379 L259=121.852/83.269 L260=18.973/19.148 L262=10.548/0.685 L263=1.372/0.483
w_2100s,180,2090,2,288,288,523,523,0,0,censored,censored,L288=154.333/22.563 L522=121.873/82.948 L523=11.242/0.901 L525=10.645/0.744 L526=1.372/0.493 L527=16.000/0.000
w_2100s,181,2091,1,24,24,260,260,0,0,censored,censored,L24=111.169/14.919 L259=120.952/82.500 L260=18.636/19.042 L262=10.870/0.705 L263=1.359/0.480
w_2100s,181,2091,2,288,288,523,523,0,0,censored,censored,L288=152.250/22.300 L522=122.398/83.150 L523=11.456/0.907 L525=10.806/0.711 L526=1.373/0.503 L527=16.000/0.000
w_2100s,182,2092,1,24,24,260,260,0,0,censored,censored,L24=111.759/15.424 L259=122.602/82.906 L260=20.025/20.690 L262=10.909/0.708 L263=1.367/0.488
w_2100s,182,2092,2,288,288,523,523,0,0,censored,censored,L288=154.545/23.375 L522=123.402/83.190 L523=11.219/0.901 L525=10.866/0.757 L526=1.378/0.516 L527=16.000/0.000
w_2100s,183,2093,1,24,24,260,260,0,0,censored,censored,L24=113.261/15.796 L259=121.659/82.722 L260=16.056/7.657 L262=10.789/0.723 L263=1.367/0.488
w_2100s,183,2093,2,288,288,523,523,0,0,censored,censored,L288=151.086/23.671 L522=120.586/83.280 L523=11.306/0.889 L525=10.739/0.747 L526=1.386/0.506 L527=16.000/0.000
w_2100s,184,2094,1,24,24,260,260,0,0,censored,censored,L24=111.994/15.482 L259=120.150/82.699 L260=16.820/12.538 L262=10.664/0.728 L263=1.373/0.493
w_2100s,184,2094,2,288,288,523,523,0,0,censored,censored,L288=154.834/24.254 L522=121.691/82.505 L523=11.075/0.882 L525=10.548/0.736 L526=1.386/0.496 L527=16.000/0.000
w_2100s,185,2095,1,24,24,260,260,0,0,censored,censored,L24=110.247/15.280 L259=120.306/82.522 L260=15.884/7.671 L262=10.786/0.722 L263=1.395/0.492
w_2100s,185,2095,2,288,288,523,523,0,0,censored,censored,L288=151.609/24.032 L522=121.775/82.891 L523=11.152/0.919 L525=10.584/0.745 L526=1.384/0.505 L527=16.000/0.000
