ordinal,counter,f1_picture_top_line,f1_bottom_line,f1_hs_partial_line,f1_last_recorded_line,f1_method,f1_note,f1_direct_bottom_candidate,f2_picture_top_line,f2_bottom_line,f2_hs_partial_line,f2_last_recorded_line,f2_method,f2_note,f2_direct_bottom_candidate,applied_d1,applied_d2
167,2077,26,260,261,262,direct,EP recording; raw VBI waveform L24; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.532/0.460/0.050; direct edge candidate=L260; body edge positions=11/714,260,288,522,523,525,cv_inspected,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.704/0.423/0.028; direct edge candidate=L522; body edge positions=11/714; magnified raw rows resolve L522; row Y(mean/std) L287=64.667/57.784 L288=153.787/23.129 L289=147.559/22.058 L521=123.173/82.944 L522=123.952/82.876 L523=10.872/0.842 L525=10.572/0.799,522,3,2
168,2078,26,260,261,262,direct,EP recording; raw VBI waveform L24; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.723/0.539/0.057; direct edge candidate=L260; body edge positions=11/714,260,288,521,522,525,cv_inspected,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.699/0.342/0.014; direct edge candidate=L521; body edge positions=11/714; magnified raw rows resolve L521; row Y(mean/std) L287=20.025/34.997 L288=155.573/20.911 L289=149.572/22.672 L520=122.581/83.019 L521=122.319/83.244 L522=123.806/82.703 L525=11.075/0.752,521,3,2
169,2079,26,260,261,262,direct,EP recording; raw VBI waveform L24; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.722/0.526/0.044; direct edge candidate=L260; body edge positions=11/714,260,288,522,523,525,cv_inspected,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.600/0.355/0.014; direct edge candidate=L522; body edge positions=11/714; magnified raw rows resolve L522; row Y(mean/std) L287=23.139/39.642 L288=152.595/21.626 L289=147.642/21.749 L521=121.905/82.811 L522=122.602/82.887 L523=11.358/0.856 L525=10.700/0.729,522,3,2
170,2080,26,260,261,262,direct,EP recording; raw VBI waveform L24; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.686/0.714/0.044; direct edge candidate=L260; body edge positions=11/714,260,288,522,523,525,direct,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.718/0.535/0.014; direct edge candidate=L522; body edge positions=11/714,522,3,2
171,2081,26,260,261,262,direct,EP recording; raw VBI waveform L24; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.709/0.511/0.057; direct edge candidate=L260; body edge positions=10/714,260,288,522,523,525,direct,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.700/0.543/0.014; direct edge candidate=L522; body edge positions=11/714,522,3,2
172,2082,25,259,260,262,direct,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.476/0.050/0.028; direct edge candidate=L259; body edge positions=11/714,259,288,521,522,525,direct,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.486/0.044/0.014; direct edge candidate=L521; body edge positions=11/714,521,2,2
173,2083,26,260,261,262,direct,EP recording; raw VBI waveform L24; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.298/0.539/0.045; direct edge candidate=L260; body edge positions=11/714,260,288,521,522,525,direct,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.366/0.045/0.014; direct edge candidate=L521; body edge positions=11/714,521,3,2
174,2084,26,260,261,262,direct,EP recording; raw VBI waveform L24; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.514/0.700/0.057; direct edge candidate=L260; body edge positions=11/714,260,288,521,522,525,direct,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.535/0.051/0.014; direct edge candidate=L521; body edge positions=11/714,521,3,2
175,2085,25,259,260,262,direct,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.525/0.050/0.014; direct edge candidate=L259; body edge positions=10/714,259,288,522,523,525,direct,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.471/0.500/0.000; direct edge candidate=L522; body edge positions=10/714,522,2,2
176,2086,25,259,260,262,direct,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.362/0.063/0.014; direct edge candidate=L259; body edge positions=10/714,259,288,522,523,525,direct,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.394/0.310/0.014; direct edge candidate=L522; body edge positions=10/714,522,2,2
