capture,ordinal,counter,field,previous_picture_top_line,picture_top_line,previous_switch_onset_line,switch_onset_line,previous_switch_line,switch_line,dp,ds,previous_reference_changed,previous_change_kind,raw_previous_rows,raw_rows
w_300s,513,14013,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=130.630/33.212 L521=94.198/53.745 L522=83.894/52.139 L525=10.448/0.954,L286=130.423/32.928 L521=93.448/53.694 L522=84.392/53.032 L525=10.303/0.888
w_300s,514,14014,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=128.255/42.270 L260=93.303/54.070 L261=32.117/36.804 L262=10.956/0.933,L24=129.648/41.489 L260=98.408/53.846 L261=31.472/36.130 L262=10.680/0.904
w_300s,514,14014,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=130.423/32.928 L521=93.448/53.694 L522=84.392/53.032 L525=10.303/0.888,L286=130.091/33.290 L521=96.167/54.558 L522=86.014/52.190 L525=10.452/0.910
w_300s,515,14015,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=129.648/41.489 L260=98.408/53.846 L261=31.472/36.130 L262=10.680/0.904,L24=128.692/42.089 L260=97.697/53.364 L261=30.867/35.731 L262=10.731/0.953
w_300s,515,14015,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=130.091/33.290 L521=96.167/54.558 L522=86.014/52.190 L525=10.452/0.910,L286=129.963/33.290 L521=95.658/53.692 L522=80.775/51.891 L525=10.725/0.873
w_300s,516,14016,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=128.692/42.089 L260=97.697/53.364 L261=30.867/35.731 L262=10.731/0.953,L24=127.716/41.936 L260=95.981/54.792 L261=29.914/34.855 L262=10.986/0.958
w_300s,516,14016,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=129.963/33.290 L521=95.658/53.692 L522=80.775/51.891 L525=10.725/0.873,L286=128.798/33.045 L521=97.384/54.549 L522=82.658/51.408 L525=10.505/0.837
w_300s,517,14017,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=127.716/41.936 L260=95.981/54.792 L261=29.914/34.855 L262=10.986/0.958,L24=129.859/43.012 L260=100.037/56.011 L261=31.328/36.734 L262=10.584/0.948
w_300s,517,14017,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=128.798/33.045 L521=97.384/54.549 L522=82.658/51.408 L525=10.505/0.837,L286=132.636/34.034 L521=98.953/54.602 L522=78.141/51.674 L525=10.552/0.843
w_300s,518,14018,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=129.859/43.012 L260=100.037/56.011 L261=31.328/36.734 L262=10.584/0.948,L24=130.025/42.928 L260=97.406/56.091 L261=28.367/33.737 L262=10.936/0.985
w_300s,518,14018,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=132.636/34.034 L521=98.953/54.602 L522=78.141/51.674 L525=10.552/0.843,L286=130.017/33.377 L521=96.223/54.597 L522=74.595/51.158 L525=10.348/0.933
w_300s,519,14019,1,24,25,261,262,261,none,1,none,yes,raster_change,L24=130.025/42.928 L260=97.406/56.091 L261=28.367/33.737 L262=10.936/0.985,L25=129.305/42.225 L261=96.733/54.990 L262=27.911/34.198
w_300s,519,14019,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=130.017/33.377 L521=96.223/54.597 L522=74.595/51.158 L525=10.348/0.933,L286=130.578/31.671 L521=97.730/54.441 L522=81.425/50.694 L525=10.359/0.911
w_300s,520,14020,1,25,24,262,261,none,261,-1,unmeasurable,yes,raster_change,L25=129.305/42.225 L261=96.733/54.990 L262=27.911/34.198,L24=130.133/41.716 L260=97.561/55.490 L261=31.175/35.745 L262=10.942/1.025
w_300s,520,14020,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=130.578/31.671 L521=97.730/54.441 L522=81.425/50.694 L525=10.359/0.911,L286=130.645/31.646 L521=95.886/54.697 L522=80.616/51.940 L525=10.481/0.896
w_300s,521,14021,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=130.133/41.716 L260=97.561/55.490 L261=31.175/35.745 L262=10.942/1.025,L24=127.920/42.588 L260=94.956/55.690 L261=29.762/34.755 L262=10.614/0.978
w_300s,521,14021,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=130.645/31.646 L521=95.886/54.697 L522=80.616/51.940 L525=10.481/0.896,L286=125.745/41.646 L521=94.330/54.208 L522=85.531/52.603 L525=10.113/0.971
w_300s,522,14022,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=127.920/42.588 L260=94.956/55.690 L261=29.762/34.755 L262=10.614/0.978,L24=133.573/34.669 L260=93.819/55.634 L261=31.613/36.607 L262=10.588/1.051
w_300s,522,14022,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=125.745/41.646 L521=94.330/54.208 L522=85.531/52.603 L525=10.113/0.971,L286=155.547/30.040 L521=118.817/42.110 L522=108.384/47.542 L525=10.169/0.948
