capture,ordinal,counter,field,previous_picture_top_line,picture_top_line,previous_switch_first_line,switch_first_line,dp,ds,previous_status,status,raw_rows
composite,265,6307,1,23,23,260,260,0,0,inferred,inferred,L23=25.258/1.511 L259=17.966/1.202 L260=17.934/1.137 L262=17.844/1.127 L263=1.386/0.490
composite,265,6307,2,286,286,523,525,0,2,inferred,inferred,L286=25.544/1.844 L524=17.134/1.033 L525=17.031/1.050 L526=1.367/0.513
composite,266,6308,1,23,23,260,262,0,2,inferred,inferred,L23=25.278/2.185 L261=16.762/1.160 L262=16.992/1.596 L263=1.387/0.500
composite,266,6308,2,286,286,525,525,0,0,inferred,inferred,L286=22.764/2.311 L524=17.848/1.406 L525=18.409/1.380 L526=1.386/0.533
composite,267,6309,1,23,23,262,260,0,-2,inferred,inferred,L23=25.280/3.830 L259=16.664/1.010 L260=16.636/1.103 L262=16.828/1.057 L263=1.402/0.503
composite,267,6309,2,286,286,525,524,0,-1,inferred,inferred,L286=25.075/1.528 L523=17.052/1.562 L524=17.227/1.549 L525=17.369/1.630 L526=1.395/0.508
composite,268,6310,1,23,23,260,261,0,1,inferred,inferred,L23=25.006/1.928 L260=16.353/1.202 L261=16.708/1.302 L262=16.523/1.155 L263=1.389/0.500
composite,268,6310,2,286,286,524,523,0,-1,inferred,inferred,L286=25.169/1.549 L522=16.227/1.483 L523=16.169/1.395 L525=16.622/1.413 L526=1.389/0.519
composite,269,6311,1,23,23,261,261,0,0,inferred,inferred,L23=24.394/1.562 L260=16.008/1.161 L261=16.625/1.069 L262=16.041/1.241 L263=1.366/0.488
composite,269,6311,2,286,286,523,522,0,-1,inferred,inferred,L286=25.061/1.550 L521=16.886/1.457 L522=16.644/1.473 L525=16.830/1.447 L526=1.378/0.516
composite,270,6312,1,23,23,261,262,0,1,inferred,inferred,L23=24.208/1.527 L261=16.239/1.233 L262=15.883/1.285 L263=1.386/0.493
composite,270,6312,2,286,286,522,525,0,3,inferred,inferred,L286=25.189/1.493 L524=17.303/1.448 L525=17.300/1.459 L526=1.377/0.504
composite,271,6313,1,23,23,262,261,0,-1,inferred,inferred,L23=24.103/1.416 L260=17.028/1.513 L261=18.092/1.572 L262=17.584/1.422 L263=1.375/0.491
composite,271,6313,2,286,286,525,525,0,0,inferred,inferred,L286=24.973/1.515 L524=17.169/1.343 L525=17.558/1.504 L526=1.389/0.519
composite,272,6314,1,23,23,261,261,0,0,inferred,inferred,L23=24.728/1.417 L260=17.728/1.450 L261=18.448/1.418 L262=18.066/1.405 L263=1.380/0.495
composite,272,6314,2,286,286,525,525,0,0,inferred,inferred,L286=25.177/1.584 L524=18.781/1.643 L525=19.352/1.777 L526=1.377/0.531
composite,273,6315,1,23,23,261,261,0,0,inferred,inferred,L23=24.639/1.469 L260=18.184/1.524 L261=18.548/1.263 L262=18.363/1.328 L263=1.380/0.498
composite,273,6315,2,286,286,525,524,0,-1,inferred,inferred,L286=26.356/1.327 L523=18.744/1.918 L524=18.973/1.899 L525=19.502/1.637 L526=1.358/0.511
composite,274,6316,1,23,23,261,259,0,-2,inferred,inferred,L23=24.780/1.380 L258=19.878/1.569 L259=19.055/1.492 L262=19.369/1.609 L263=1.384/0.511
composite,274,6316,2,286,-1,524,-1,unmeasurable,unmeasurable,inferred,unmeasurable,L286=26.509/1.406 L525=21.212/1.610
composite,275,6317,1,23,23,259,259,0,0,inferred,inferred,L23=25.231/1.451 L258=20.353/1.497 L259=19.886/1.420 L262=19.514/1.453 L263=1.370/0.486
composite,275,6317,2,-1,286,-1,521,unmeasurable,unmeasurable,unmeasurable,inferred,L286=27.547/1.513 L520=19.820/2.350 L521=19.545/2.141 L525=21.500/2.015 L526=1.378/0.516
composite,276,6318,1,23,23,259,262,0,3,inferred,inferred,L23=25.762/1.533 L261=19.406/1.422 L262=18.814/1.492 L263=1.386/0.496
composite,276,6318,2,286,286,521,522,0,1,inferred,inferred,L286=26.164/1.351 L521=18.144/1.963 L522=17.447/2.196 L525=18.739/1.781 L526=1.381/0.505
composite,277,6319,1,23,23,262,259,0,-3,inferred,inferred,L23=24.272/1.772 L258=17.300/1.505 L259=17.887/1.237 L262=18.214/1.255 L263=1.367/0.492
composite,277,6319,2,286,286,522,524,0,2,inferred,inferred,L286=25.039/1.346 L523=17.222/1.467 L524=16.730/1.462 L525=16.598/2.380 L526=1.389/0.519
composite,278,6320,1,23,23,259,260,0,1,inferred,inferred,L23=23.647/1.445 L259=15.992/1.458 L260=16.642/1.726 L262=16.120/1.509 L263=1.389/0.494
composite,278,6320,2,286,286,524,524,0,0,inferred,inferred,L286=24.900/1.355 L523=16.428/1.752 L524=16.447/1.879 L525=16.884/1.978 L526=1.367/0.513
composite,279,6321,1,23,-1,260,-1,unmeasurable,unmeasurable,inferred,unmeasurable,L23=22.288/1.472 L262=5.428/1.713
composite,279,6321,2,286,-1,524,-1,unmeasurable,unmeasurable,inferred,unmeasurable,L286=7.198/1.735 L525=1.811/0.983
composite,280,6322,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=7.098/1.494 L262=2.189/1.153
composite,280,6322,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=5.284/1.574 L525=1.450/0.571
composite,281,6323,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=6.662/1.403 L262=1.430/0.552
composite,281,6323,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=6.005/1.435 L525=1.377/0.504
composite,282,6324,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=5.984/1.220 L262=1.417/0.518
composite,282,6324,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=5.691/1.355 L525=6.202/4.465
composite,283,6325,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=7.084/1.523 L262=4.944/3.902
composite,283,6325,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=5.873/1.689 L525=1.573/0.669
composite,284,6326,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=5.777/1.085 L262=10.100/0.794
composite,284,6326,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=6.491/2.842 L525=10.608/0.848
composite,285,6327,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=6.330/2.806 L262=10.539/0.745
composite,285,6327,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=6.227/2.819 L525=10.594/0.833
composite,286,6328,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=5.000/1.526 L262=4.505/3.830
